DUECA time,xdotdot,FrameSignature,Roll raw,Pitch raw,Yaw raw,X raw,Y raw,Z raw
6666000,-0.0002558,24729,31.9026,-129.386,7.41307,122.996,-61.0664,182.661
6666400,-0.001279,24732,31.7075,-129.416,7.44242,122.572,-61.1214,182.849
6666800,-0.00230218,24740,31.1798,-129.506,7.43092,121.414,-61.2869,183.411
6667200,-0.00332535,24744,30.9052,-129.569,7.40868,120.851,-61.3764,183.739
6667600,-0.0043485,24747,55.2023,-127.222,-427.084,394.247,-12.7331,693.174
6668000,-0.00537161,24751,190.044,-109.528,-2884.77,1913.93,264.215,3569.21
6668400,-0.00639468,24759,251.399,-70.1658,-4266.71,2753.12,397.654,5182.37
6668800,-0.00741771,24762,257.301,-61.4331,-4335.05,2788.17,406.235,5244.79
6669200,-0.00844069,24766,261.986,-53.4226,-4359.52,2808.51,412.851,5276.55
6669600,-0.00946361,24770,264.929,-47.8321,-4368.44,2818.84,416.639,5290.61
6670000,-0.0104865,24777,268.645,-40.8364,-4376.39,2829.51,420.998,5300.91
6670400,-0.0112535,24781,234.027,-45.6153,-3661.88,2406.52,350.731,4497.68
6670800,-0.011253,24785,104.328,-61.4544,-1300.36,936.79,86.3501,1738.07
6671200,-0.0112525,24792,53.5791,-83.658,-140.816,213.701,-23.8117,366.36
6671600,-0.0112519,24796,44.7063,-91.8774,-47.5736,164.466,-35.9887,273.015
6672000,-0.0112512,24800,39.2536,-97.6996,-25.7527,145.909,-42.2063,241.267
6672400,-0.0112505,24804,35.5224,-101.952,-17.0032,136.467,-46.284,225.992
6672800,-0.0112497,24811,31.4638,-107.318,-9.5297,127.339,-50.4265,211.635
6673200,-0.0112489,24815,29.9619,-109.673,-7.02386,124.185,-51.9165,206.661
6673600,-0.011248,24822,28.1246,-113.062,-4.25009,120.658,-54.0988,200.974
6674000,-0.0112471,24826,27.4372,-114.754,-3.14654,119.281,-55.1625,198.882
6674400,-0.0112461,24830,137.248,-103.194,-1937.7,1321.69,156.306,2447
6674800,-0.0112452,24834,224.332,-86.6567,-3642.58,2383.15,344.203,4438.26
6675200,-0.0112441,24841,257.481,-62.5196,-4307.05,2779.43,402.301,5209.66
6675600,-0.0112431,24845,264.133,-53.2839,-4351.6,2809.02,411.368,5262.32
6676000,-0.011242,24849,268.196,-46.6243,-4365.12,2822.33,416.518,5282.43
6676400,-0.0112409,24856,271.859,-39.5825,-4373.43,2834.16,420.544,5291.86
6676800,-0.0112398,24860,273.318,-36.9264,-4376.27,2838.46,421.711,5293.79
6677200,-0.0112386,24864,274.785,-34.6061,-4378.78,2841.5,423.012,5296.76
6677600,-0.0112374,24868,202.691,-44.0066,-3050.07,2029.14,281.849,3770.32
6678000,-0.0112363,24876,58.3684,-75.8966,-280.894,290.433,-13.3311,520.196
